writing_id,sentence_id,text,expected,annotation,tokenize,word_length,no_edit
65,2,สุมมุติว่าคุณมาถึงสถานที่ใหม่แล้ว ไม่มีเพื่อน ไปไหนก็ไม่รู้ทาง เพราะฉะนั้นท่าทางและการเดิน/ก้าวย่างของคุณดูเหมือน ชาวต่างชาติ,แชร์ความคิดเห็นเกี่ยวกับความแน่นอน สมมุติว่าคุณมาถึงสถานที่ใหม่แล้วไม่มีเพื่อน ไปไหนก็ไม่รู้ทาง เพราะฉะนั้น ท่าทาง การเดิน และก้าวย่างของคุณจะดูเหมือนชาวต่างชาติ,{สุมมุติ=>สมมุติ:::Spelling}ว่าคุณมาถึงสถานที่ใหม่แล้ว{ =>:::Punctuation}ไม่มีเพื่อน ไปไหนก็ไม่รู้ทาง เพราะฉะนั้น{=> :::Punctuation}ท่าทาง{=> :::Punctuation}{และการเดิน/ก้าวย่าง=>การเดินและก้าวย่าง:::Grammar}ของคุณ{=>จะ:::Fluency}ดูเหมือน{ =>:::Punctuation}ชาวต่างชาติ,"['สุม', 'มุติ', 'ว่า', 'คุณ', 'มาถึง', 'สถานที่', 'ใหม่', 'แล้ว', ' ', 'ไม่', 'มี', 'เพื่อน', ' ', 'ไป', 'ไหน', 'ก็', 'ไม่', 'รู้ทาง', ' ', 'เพราะฉะนั้น', 'ท่าทาง', 'และ', 'การ', 'เดิน', '/', 'ก้าวย่าง', 'ของ', 'คุณ', 'ดูเหมือน', ' ', 'ชาวต่างชาติ']",31,0
255,1,เนื้อหนา และ น้ำเมือกเหนียวค่ะ ใบของว่านหางจระเข้สีเขียว และดอก,เนื้อหนา และมีน้ำเมือกเหนียวค่ะ ใบของว่านหางจระเข้มีสีเขียว และดอก,เนื้อหนา และ{ =>:::Punctuation}{=>มี:::Fluency}น้ำเมือกเหนียวค่ะ ใบของว่านหางจระเข้{=>มี:::Grammar}สีเขียว และดอก,"['เนื้อ', 'หนา', ' ', 'และ', ' ', 'น้ำ', 'เมือก', 'เหนียว', 'ค่ะ', ' ', 'ใบ', 'ของ', 'ว่าน', 'หางจระเข้', 'สี', 'เขียว', ' ', 'และ', 'ดอก']",19,0
125,5,เนื่องจากประเท่ศไทยมีเทศกาลลอยกระทง,เนื่องจากประเทศไทยมีเทศกาลลอยกระทง,,"['เนื่องจาก', 'ประ', 'เท่', 'ศ', 'ไทย', 'มี', 'เทศกาล', 'ลอยกระทง']",8,0
185,7,ถ้าเราไม่มีใครเอาใจใสให้เรา,ถ้าเราไม่มีใครเอาใจใส่เรา,ถ้าเราไม่มีใคร{เอาใจใส=>เอาใจใส่:::Spelling}{ให้=>:::Grammar}เรา,"['ถ้า', 'เรา', 'ไม่', 'มี', 'ใคร', 'เอาใจ', 'ใส', 'ให้', 'เรา']",9,0
183,1,ขอบ เท่าไร ร้านอาหาร นั้น พอได้ แต่ แพง มาก กิน อาหารไทย ทีไร มี ผักชี ทุกที เธอ ขับรถ เป็น เพราะ ฝึก ตั้งแต,ชอบเท่าไร ร้านอาหารร้านนั้นพอได้ แต่แพงมาก กินอาหารไทยทีไร มีผักชีทุกที เธอขับรถเป็นเพราะฝึกตั้งแต่,{ขอบ=>ชอบ:::Spelling}{ =>:::Punctuation}เท่าไร ร้านอาหาร{ =>:::Punctuation}{=>ร้าน:::Grammar}นั้น{ =>:::Punctuation}พอได้ แต่{ =>:::Punctuation}แพง{ =>:::Punctuation}มาก กิน{ =>:::Punctuation}อาหารไทย{ =>:::Punctuation}ทีไร มี{ =>:::Punctuation}ผักชี{ =>:::Punctuation}ทุกที เธอ{ =>:::Punctuation}ขับรถ{ =>:::Punctuation}เป็น{ =>:::Punctuation}เพราะ{ =>:::Punctuation}ฝึก{ =>:::Punctuation}{ตั้งแต=>ตั้งแต่:::Spelling},"['ขอบ', ' ', 'เท่าไร', ' ', 'ร้านอาหาร', ' ', 'นั้น', ' ', 'พอได้', ' ', 'แต่', ' ', 'แพง', ' ', 'มาก', ' ', 'กิน', ' ', 'อาหาร', 'ไทย', ' ', 'ทีไร', ' ', 'มี', ' ', 'ผักชี', ' ', 'ทุกที', ' ', 'เธอ', ' ', 'ขับรถ', ' ', 'เป็น', ' ', 'เพราะ', ' ', 'ฝึก', ' ', 'ตั้ง', 'แต']",41,0
255,2,มีสีต่าง ๆ เช่น เหลือง ขาว แดง เป็นต้นค่ะ ใบของว่านหางจระเข้มีสารเคมีหลายชนิด เช่น โพแทสเซียม แคลเซียม Aloin ฯลฯ,มีสีต่าง ๆ เช่น เหลือง ขาว แดง ค่ะ ใบของว่านหางจระเข้มีสารเคมีหลายชนิด เช่น โพแทสเซียม แคลเซียม Aloin ฯลฯ,มีสีต่าง ๆ เช่น เหลือง ขาว แดง{เป็นต้น=>:::Grammar}ค่ะ ใบของว่านหางจระเข้มีสารเคมีหลายชนิด เช่น โพแทสเซียม แคลเซียม Aloin ฯลฯ,"['มี', 'สี', 'ต่าง ๆ', ' ', 'เช่น', ' ', 'เหลือง', ' ', 'ขาว', ' ', 'แดง', ' ', 'เป็นต้น', 'ค่ะ', ' ', 'ใบ', 'ของ', 'ว่าน', 'หางจระเข้', 'มี', 'สารเคมี', 'หลายชนิด', ' ', 'เช่น', ' ', 'โพแทสเซียม', ' ', 'แคลเซียม', ' ', 'Aloin', ' ', 'ฯลฯ']",32,0
67,8,อย่างไรก็ตาม เวนิสมีปัญหาช่วงนี้ระดับน้ำเพิ่มขึ้น,อย่างไรก็ตาม เวนิสช่วงนี้มีปัญหาระดับน้ำเพิ่มขึ้น,อย่างไรก็ตาม เวนิส{=>ช่วงนี้:::Fluency}มีปัญหา{ช่วงนี้=>:::Fluency}ระดับน้ำเพิ่มขึ้น,"['อย่างไรก็ตาม', ' ', 'เวนิส', 'มีปัญหา', 'ช่วงนี้', 'ระดับน้ำ', 'เพิ่มขึ้น']",7,0
37,16,ธงชาติญี่ปุ่นเป็นรูปสี่เหลี่ยมพื้นสีขาว กึ่งกลางธงเป็นรูปวงกลมสีแดงซึ่งก็หมายถึงพระอาทิตย์,ธงชาติญี่ปุ่นเป็นรูปสี่เหลี่ยมพื้นสีขาว กึ่งกลางธงเป็นรูปวงกลมสีแดง ซึ่งก็หมายถึงพระอาทิตย์,ธงชาติญี่ปุ่นเป็นรูปสี่เหลี่ยมพื้นสีขาว กึ่งกลางธงเป็นรูปวงกลมสีแดง{=> :::Punctuation}ซึ่งก็หมายถึงพระอาทิตย์,"['ธงชาติ', 'ญี่ปุ่น', 'เป็น', 'รูปสี่เหลี่ยม', 'พื้น', 'สี', 'ขาว', ' ', 'กึ่งกลาง', 'ธง', 'เป็น', 'รูป', 'วงกลม', 'สีแดง', 'ซึ่ง', 'ก็', 'หมายถึง', 'พระอาทิตย์']",18,0
63,4,ตอนปี 1928 พรรคการเมือง KMT ซึ่งเป็นพรรคการเมืองครองไต้หวันตัดสินใจใช้คำของอัครมหาเสนาบดีเป็นเพลงของพรรคการเมือง KMT และร้องขอดนตรี,ตอนปี 1928 พรรคการเมือง KMT ซึ่งเป็นพรรคการเมืองที่ครองไต้หวันตัดสินใจใช้คำของอัครมหาเสนาบดีเป็นเพลงของพรรคการเมือง KMT และร้องขอดนตรี,ตอนปี 1928 พรรคการเมือง KMT ซึ่งเป็นพรรคการเมือง{=>ที่:::Fluency}ครองไต้หวันตัดสินใจใช้คำของอัครมหาเสนาบดีเป็นเพลงของพรรคการเมือง KMT และร้องขอดนตรี,"['ตอน', 'ปี', ' ', '1928', ' ', 'พรรคการเมือง', ' ', 'KMT', ' ', 'ซึ่ง', 'เป็น', 'พรรคการเมือง', 'ครอง', 'ไต้หวัน', 'ตัดสินใจ', 'ใช้', 'คำ', 'ของ', 'อัครมหาเสนาบดี', 'เป็น', 'เพลง', 'ของ', 'พรรคการเมือง', ' ', 'KMT', ' ', 'และ', 'ร้องขอ', 'ดนตรี']",29,0
150,0,ผู้หญิงทิรำอยู่คนนั้นเป็นลูกสาว,ผู้หญิงที่รำอยู่คนนั้นเป็นลูกสาว,ผู้หญิง{ทิ=>ที่:::correction_tag}รำอยู่คนนั้นเป็นลูกสาว,"['ผู้หญิง', 'ทิ', 'รำ', 'อยู่', 'คน', 'นั้น', 'เป็น', 'ลูกสาว']",8,0
8,16,เมียนมาเพราะฉะนั้นจรีตของสองประเทศเราเหมือนกันเกือบจะทั้งหมด,เมียนมา เพราะฉะนั้น จารีตของสองประเทศนี้จึงเหมือนกันแทบทั้งหมด,เมียนมา{=> :::Punctuation}เพราะฉะนั้น{=> :::Punctuation}{จรีต=>จารีต:::Spelling}ของสองประเทศ{เรา=>นี้:::Fluency}{=>จึง:::Fluency}เหมือนกัน{เกือบจะ=>แทบ:::Fluency}ทั้งหมด,"['เมียนมา', 'เพราะฉะนั้น', 'จรี', 'ต', 'ของ', 'สอง', 'ประเทศ', 'เรา', 'เหมือนกัน', 'เกือบจะ', 'ทั้งหมด']",11,0
7,1,ลูกแฝดก็เช่นกัน,ลูกแฝดก็เช่นกัน,,"['ลูกแฝด', 'ก็', 'เช่นกัน']",3,1
362,6,แต่ว่าทุกคนเห็นว่าคนนี่ (ฉัน) อันตราย,แต่ว่าทุกคนเห็นว่าคนนี้ (ฉัน) อันตราย,แต่ว่าทุกคนเห็นว่าคน{นี่=>นี้:::Spelling} (ฉัน) อันตราย,"['แต่ว่า', 'ทุกคน', 'เห็น', 'ว่า', 'คน', 'นี่', ' ', '(', 'ฉัน', ')', ' ', 'อันตราย']",12,0
226,21,สื่อออนไลน์ Sanook,สื่อออนไลน์ Sanook,สื่อออนไลน์ Sanook,"['สื่อ', 'ออนไลน์', ' ', 'Sanook']",4,1
186,11,อย่างเสียงดัง อย่างต้องกามให้ถูกคนเอาใจใส่เขา,อย่างการทำเสียงดัง และต้องการให้ทุกคนเอาใจใส่เขา,อย่าง{=>การทำ:::Fluency}เสียงดัง {อย่าง=>และ:::Fluency}{ต้องกาม=>ต้องการ:::Spelling}ให้{ถูกคน=>ทุกคน:::Spelling}เอาใจใส่เขา,"['อย่าง', 'เสียงดัง', ' ', 'อย่าง', 'ต้อง', 'กาม', 'ให้', 'ถูก', 'คน', 'เอาใจใส่', 'เขา']",11,0
205,3,เพราะคุณแม่คอยดูแลผมเสมอ,เพราะคุณแม่คอยดูแลผมอยู่เสมอ,เพราะคุณแม่คอยดูแลผม{=>อยู่:::Fluency}เสมอ,"['เพราะ', 'คุณแม่', 'คอย', 'ดูแล', 'ผม', 'เสมอ']",6,0
176,3,เขาชอบอาหารไทยยกเว้นพัดไท,เขาชอบอาหารไทยยกเว้นผัดไทย,เขาชอบอาหารไทยยกเว้น{พัดไท=>ผัดไทย:::Spelling},"['เขา', 'ชอบ', 'อาหาร', 'ไทย', 'ยกเว้น', 'พัด', 'ไท']",7,0
310,7,ผมกับเขามีเงินเท่ากัน.,ผมกับเขามีเงินเท่ากัน,ผมกับเขามีเงินเท่ากัน{.=>:::Punctuation},"['ผม', 'กับ', 'เขา', 'มีเงิน', 'เท่ากัน', '.']",6,0
97,3,เขาตัดผมเลียนแบบดาราเกาหลี ปัจจุบันนี้เยาวชนมีสิ่งยั่วยุมากกว่าในอดีต,เขาตัดผมเลียนแบบดาราเกาหลี ปัจจุบันนี้เยาวชนพบสิ่งยั่วยุมากกว่าในอดีต,เขาตัดผมเลียนแบบดาราเกาหลี ปัจจุบันนี้เยาวชน{มี=>พบ:::correction_tag}สิ่งยั่วยุมากกว่าในอดีต,"['เขา', 'ตัดผม', 'เลียนแบบ', 'ดารา', 'เกาหลี', ' ', 'ปัจจุบันนี้', 'เยาวชน', 'มี', 'สิ่งยั่วยุ', 'มากกว่า', 'ใน', 'อดีต']",13,0
287,6,บางทีเขาอาจจะไปเที่ยว,บางทีเขาอาจจะไปเที่ยว,บางทีเขาอาจจะไปเที่ยว,"['บางที', 'เขา', 'อาจจะ', 'ไปเที่ยว']",4,1
17,1,ผมชื่อ Sitt.Naing(ครับ)(ผม)มาจะประเทศเมียนมาครับ,ผมชื่อ Sitt Naing ครับ ผมมาจากประเทศเมียนมาครับ,ผมชื่อ Sitt{.=> :::Punctuation}Naing{(=>:::Punctuation}ครับ{)=> :::Punctuation}{(=>:::Punctuation}ผม{)=>:::Punctuation}มา{จะ=>จาก:::Spelling}ประเทศเมียนมาครับ,"['ผม', 'ชื่อ', ' ', 'Sitt', '.Naing(', 'ครับ', ')(', 'ผม', ')', 'มา', 'จะ', 'ประเทศ', 'เมียนมา', 'ครับ']",14,0
70,13,ถ้าเราเลือกเศรษฐกิจแทนธรรมชาติทุกครั้งเราก็จะได้สิ่งแวดล้อมที่ไม่ เหมาะสมกับเรา,ถ้าเราเลือกเศรษฐกิจแทนธรรมชาติทุกครั้ง เราก็จะได้สิ่งแวดล้อมที่ไม่เหมาะสมกับเรา,ถ้าเราเลือกเศรษฐกิจแทนธรรมชาติทุกครั้ง{=> :::Punctuation}เราก็จะได้สิ่งแวดล้อมที่ไม่{ =>:::Punctuation}เหมาะสมกับเรา,"['ถ้า', 'เรา', 'เลือก', 'เศรษฐกิจ', 'แทน', 'ธรรมชาติ', 'ทุกครั้ง', 'เรา', 'ก็', 'จะ', 'ได้', 'สิ่งแวดล้อม', 'ที่', 'ไม่', ' ', 'เหมาะสม', 'กับ', 'เรา']",18,0
243,10,ผมคิดว่าวิธีแก้ปัญหามีหลายวิธี เช่น สร้างรถไฟฟ้าให้ มากขี้น บริษัทเปลี่ยนเวลาเริ่มทำงาน,ผมคิดว่า วิธีแก้ปัญหามีหลายวิธี เช่น สร้างรถไฟฟ้าให้มากขี้น บริษัทเปลี่ยนเวลาเริ่มทำงาน,ผมคิดว่า{ =>:::Punctuation}วิธีแก้ปัญหามีหลายวิธี เช่น สร้างรถไฟฟ้าให้{ =>:::Punctuation}มากขี้น บริษัทเปลี่ยนเวลาเริ่มทำงาน,"['ผม', 'คิด', 'ว่า', 'วิธี', 'แก้ปัญหา', 'มี', 'หลาย', 'วิธี', ' ', 'เช่น', ' ', 'สร้าง', 'รถไฟฟ้า', 'ให้', ' ', 'มาก', 'ขี้', 'น', ' ', 'บริษัท', 'เปลี่ยน', 'เวลาเริ่ม', 'ทำงาน']",23,0
202,1,ผมเลิกกับแฟนเพราะพอเขาเรียนจบเขาก็ทำงานที่ต่างประเทศ,ผมเลิกกับแฟนเพราะพอเขาเรียนจบ เขาก็ไปทำงานที่ต่างประเทศ,ผมเลิกกับแฟนเพราะพอเขาเรียนจบ{=> :::Punctuation}เขาก็{=>ไป:::Fluency}ทำงานที่ต่างประเทศ,"['ผม', 'เลิก', 'กับ', 'แฟน', 'เพราะ', 'พอ', 'เขา', 'เรียนจบ', 'เขา', 'ก็', 'ทำงาน', 'ที่', 'ต่างประเทศ']",13,0
123,4,เพื่อนตั้งใจว่า จะเป็นพูดภาษาไทยเก่งอย่างกับคนไทยโดยไปโรงเรียน,เพื่อนตั้งใจว่าจะพูดภาษาไทยให้เก่งอย่างกับคนไทยโดยไปโรงเรียน,,"['เพื่อน', 'ตั้งใจ', 'ว่า', ' ', 'จะ', 'เป็น', 'พูด', 'ภาษาไทย', 'เก่ง', 'อย่าง', 'กับ', 'คนไทย', 'โดย', 'ไป', 'โรงเรียน']",15,0
340,0,กว่าพ่อจะกลับถึงบ้านลูกสาวก็หลับแล้ว,กว่าพ่อจะกลับถึงบ้านลูกสาวก็หลับแล้ว,กว่าพ่อจะกลับถึงบ้านลูกสาวก็หลับแล้ว,"['กว่า', 'พ่อ', 'จะ', 'กลับ', 'ถึง', 'บ้าน', 'ลูกสาว', 'ก็', 'หลับ', 'แล้ว']",10,1
147,0,ผมไปมหาวิทยาลัยตั้งแต่เช้า,ผมไปมหาวิทยาลัยตั้งแต่เช้า,ผมไปมหาวิทยาลัยตั้งแต่เช้า,"['ผม', 'ไป', 'มหาวิทยาลัย', 'ตั้ง', 'แต่เช้า']",5,1
213,5,เวลากินก่อนคนญี่ปุ่นพูด“いただきます”เป็นธรรมเนียม,ก่อนกิน คนญี่ปุ่นจะพูด “いただきます” เป็นธรรมเนียม,{เวลา=>:::Fluency}{กินก่อน=>ก่อนกิน:::Grammar}{=> :::Punctuation}คนญี่ปุ่น{=>จะ:::Fluency}พูด{=> :::Punctuation}“いただきます”{=> :::Punctuation}เป็นธรรมเนียม,"['เวลา', 'กิน', 'ก่อน', 'คนญี่ปุ่น', 'พูด', '“いただきます”', 'เป็น', 'ธรรมเนียม']",8,0
8,5,เมื่อผู้ใหญ่นั่งพูดคุยกันอยู่,เวลาผู้ใหญ่นั่งพูดคุยกันอยู่,{เมื่อ=>เวลา:::Fluency}ผู้ใหญ่นั่งพูดคุยกันอยู่,"['เมื่อ', 'ผู้ใหญ่', 'นั่ง', 'พูดคุย', 'กัน', 'อยู่']",6,0
20,10,สุดท้ายผมก็เหนื่อยล้าและก็ไม่ได้ผลเยอะเท่าที่ควร,สุดท้ายผมก็เหนื่อยล้าแล้วก็ไม่ได้ผลมากเท่าที่ควร,สุดท้ายผมก็เหนื่อยล้า{และก็=>แล้วก็:::Fluency}ไม่ได้ผล{เยอะ=>มาก:::Fluency}เท่าที่ควร,"['สุดท้าย', 'ผม', 'ก็', 'เหนื่อยล้า', 'และ', 'ก็', 'ไม่', 'ได้ผล', 'เยอะ', 'เท่าที่ควร']",10,0
324,3,วันนี้ออกไปข้างนอกไม่ได้เพราะฝนตก,วันนี้ออกไปข้างนอกไม่ได้เพราะฝนตก,วันนี้ออกไปข้างนอกไม่ได้เพราะฝนตก,"['วันนี้', 'ออก', 'ไป', 'ข้างนอก', 'ไม่', 'ได้', 'เพราะ', 'ฝนตก']",8,1
202,4,อีก ๒ ปีผมจะกลับญี่ปุ่น,อีก ๒ ปีผมจะกลับญี่ปุ่น,อีก ๒ ปีผมจะกลับญี่ปุ่น,"['อีก', ' ', '๒', ' ', 'ปี', 'ผม', 'จะ', 'กลับ', 'ญี่ปุ่น']",9,1
14,21,แต่ไม่จำเป็นต้องสร้างประโยชน์สุขให้ประเทศชาติ ซึ่งเป็นองค์การที่มีความหมายที่น่าสงสัยมาก,ไม่จำเป็นต้องสร้างประโยชน์สุขให้ประเทศชาติ ซึ่งเป็นองค์กรที่มีความหมายที่น่าสงสัยมาก,{แต่=>:::Grammar}ไม่จำเป็นต้องสร้างประโยชน์สุขให้ประเทศชาติ ซึ่งเป็น{องค์การ=>องค์กร:::Fluency}ที่มีความหมายที่น่าสงสัยมาก,"['แต่', 'ไม่', 'จำเป็นต้อง', 'สร้าง', 'ประโยชน์', 'สุข', 'ให้', 'ประเทศชาติ', ' ', 'ซึ่ง', 'เป็น', 'องค์การ', 'ที่', 'มีความหมาย', 'ที่', 'น่าสงสัย', 'มาก']",17,0
99,6,จำนวนคนที่อยากเรียนภาษาจีนมีแนวโน้มเพิ่มขึ้น,จำนวนคนที่อยากเรียนภาษาจีนมีแนวโน้มเพิ่มขึ้น,จำนวนคนที่อยากเรียนภาษาจีนมีแนวโน้มเพิ่มขึ้น,"['จำนวน', 'คน', 'ที่', 'อยาก', 'เรียน', 'ภาษาจีน', 'มีแนวโน้ม', 'เพิ่มขึ้น']",8,1
