writing_id,sentence_id,text,expected,annotation
0,11,โรคพิษสุนัขบ้า มีผู้เสียชีวิตประมาณ 55.000 คนต่อไป,"มีผู้เสียชีวิตด้วยโรคพิษสุนัขบ้าประมาณ 55,000 คนต่อปี","{โรคพิษสุนัขบ้า มีผู้เสียชีวิต=>มีผู้เสียชีวิตด้วยโรคพิษสุนัขบ้า:::Grammar}ประมาณ 55,000 คนต่อ{ไป=>ปี:::Spelling}"
0,12,การเสียชีวิตจากโรคพิษสุนัขบ้ากว่า 95 % เกิดในทวีปแอฟริกากับเอเชีย,ผู้เสียชีวิตจากโรคพิษสุนัขบ้ามากกว่าร้อยละ 95 อยู่ในทวีปแอฟริกาและเอเชีย,{การ=>ผู้}เสียชีวิตจากโรคพิษสุนัขบ้า{=>มาก:::Fluency}กว่า{95%=>ร้อยละ 95:::Fluency} {เกิด=>อยู่:::Fluency}ในทวีปแอฟริกา{กับ=>และ:::Fluency}เอเชีย
0,13,เจ้าหน้าที่กรทรวงสาธารณสุขของไทยเตือนให้ประชาชนนำสัตว์เลี้ยงเข้ารับการฉีดวัคชีนและให้ผู้ที่ถูกสัตว์เลียงกัดต้องรีบพบแพทย์ทันที,เจ้าหน้าที่กระทรวงสาธารณสุขของไทยเตือนให้ประชาชนพาสัตว์เลี้ยงไปรับการฉีดวัคซีน และผู้ที่ถูกสัตว์เลี้ยงกัดต้องรีบพบแพทย์ทันที,เจ้าหน้าที่{กรทรวง=>กระทรวง:::Spelling}สาธารณสุขของไทยเตือนให้ประชาชน{นำ=>พา:::Fluency}สัตว์เลี้ยง{เข้า=>ไป:::Fluency}รับการฉีดวัคซีน{=> :::Punctuation}และ{ให้=>:::Fluency}ผู้ที่สัตว์เลี้ยงกัดต้องรีบพบแพทย์ทันที
0,14,ในเชื่อง 2 เดือน ที่ผ่านมา มีสัตว์เป็นโรคพิษสุนัขบ้าเพิมจากช่วงเดียวกันของปีที่แล้วกว่าเท่าตัว ( จาก 160 เป็น 341 ) มากกว่าครึ่งเป็นที่มีเจ้าของ,ในช่วง 2 เดือนที่ผ่านมา มีสัตว์ที่เป็นโรคพิษสุนัขบ้าเพิ่มขึ้นจากช่วงเดียวกันของปีที่แล้วกว่าเท่าตัว (จาก 160 ตัวเป็น 341 ตัว) มากกว่าครึ่งของสัตว์เหล่านั้นเป็นสัตว์เลี้ยงที่มีเจ้าของ,ใน{เชื่อง=>ช่วง:::Spelling} 2 เดือน{ =>:::Punctuation}ที่ผ่านมา มีสัตว์{=>ที่:::Grammar}เป็นโรคพิษสุนัขบ้า{เพิม=>เพิ่ม:::Spelling}{=>ขึ้น:::Fluency}จากช่วงเดียวกันของปีที่แล้วกว่าเท่าตัว (จาก { =>:::Punctuation}160 {=>ตัว:::Grammar} เป็น 341 {=>ตัว:::Grammar}{ =>:::Punctuation}) มากกว่าครึ่ง{=>ของสัตว์เหล่านั้น:::Fluency}เป็น{=>สัตว์เลี้ยง:::Fluency}ที่มีเจ้าของ
0,15,ปัจจุบันโรคพิษสุนัขบ้าเกิดขึ้นใน 22 จังหวัด,ปัจจุบันโรคพิษสุนัขบ้าแพร่กระจายไปใน 22 จังหวัด,ปัจจุบันโรคพิษสุนัขบ้า{เกิดขึ้น=>แพร่กระจายไป:::Fluency}ใน 22 จังหวัด
0,16,6 วิธีการตอบโตของญี่ปุ่น,6. มาตรการรับมือของญี่ปุ่น,{6=>6.:::Punctuation} {วิธีการ=>มาตรการ:::Fluency}{ตอบโต้=>รับมือ:::Fluency}ของญี่ปุ่น
0,17,ที่ญี่ปุ่น 60 ปีที่ผ่านมามีคนที่เสียชีวิตจำนวนมาก เนื่องจากโรคพิษสุนัขบ้า,ประเทศญี่ปุ่นในช่วง 60 ปีที่ผ่านมา มีผู้เสียชีวิตจำนวนมากจากโรคพิษสุนัขบ้า,{ที่=>ประเทศ:::Fluency}ญี่ปุ่น{=>ในช่วง:::Fluency} 60 ปีที่ผ่านมา{=> :::Punctuation}มี{คนที่เสียชีวิต=>ผู้เสียชีวิต:::Fluency}จำนวนมาก{ เนื่องจาก=>จาก:::Grammar}โรคพิษสุนัขบ้า
0,18,รัฐบาลญี่ปุ่นออกกฎหมายป้องกันโรคพิษสุนัขบ้า รัฐบาลบังคับให้ประชาชน ทะเบียนของสุนัขเลี้ยงและให้ฉัดวักซีน จับสุนัขป่าพาไปที่ศูนย์ การป้องกันและดูแลให้ ส่งผลให้โรคพิษสุนัขบ้าหายไปหมดไปทั้ง 7 ปี,รัฐบาลญี่ปุ่นออกกฎหมายป้องกันโรคพิษสุนัขบ้า โดยบังคับให้ประชาชนลงทะเบียนสุนัขที่เป็นสัตว์เลี้ยงและให้ฉีดวัคซีน รวมถึงจับสุนัขป่าไปที่ศูนย์ การป้องกันและดูแลเหล่านี้ทำให้โรคพิษสุนัขบ้าหายไปทั้งหมดในเวลา 7 ปี,รัฐบาลญี่ปุ่นออกกฎหมายป้องกันโรคพิษสุนัขบ้า {รัฐบาล=>โดย:::Fluency}บังคับให้ประชาชน{ =>:::Punctuation}{=>ลง:::Grammar}ทะเบียน{ของ=>:::Fluency}สุนัข{=>ที่เป็นสัตว์:::Fluency}เลี้ยงและให้{ฉัด=>ฉีด:::Spelling}{วักซีน=>วัคซีน:::Spelling} {=>รวมถึง:::Grammar}จับสุนัขป่า{พา=>:::Fluency}ไปที่ศูนย์ การป้องกันและดูแล{ให้=>เหล่านี้:::Fluency}{ =>:::Punctuation}{ส่งผลให้=>ทำให้:::Fluency}โรคพิษสุนัขบ้าหายไป{หมดไปทั้ง=>ทั้งหมด:::Fluency}{=>ในเวลา:::Fluency} 7 ปี
0,19,ดิฉันคิดว่า ที่สำคัญว่า ผู้ที่เลี้ยงสัตว์ นำความรู้ที่ถูกเกี่ยวกับโรคพิษสุนัขบ้า และมีความรัก และมีความรับผิดชอบต่อสัตว์เลี้ยง นอกจากทำการลงทะเบียน และ ฉีดวัคซีนแน่นอน,ดิฉันคิดว่า สิ่งที่สำคัญสำหรับผู้ที่เลี้ยงสัตว์คือการมีความรู้ที่ถูกต้องเกี่ยวกับโรคพิษสุนัขบ้า มีความรักและความรับผิดชอบต่อสัตว์เลี้ยง นอกจากนี้ยังต้องทำการลงทะเบียน และฉีดวัคซีนให้เรียบร้อย,ดิฉันคิดว่า {=>สิ่ง:::Grammar}ที่สำคัญ{ว่า=>สำหรับ:::Grammar}{ =>:::Punctuation}ผู้ที่เลี้ยงสัตว์{=>คือการ:::Grammar}{นำ=>มี:::Fluency}ความรู้ที่{ถูก=>ถูกต้อง:::Fluency}เกี่ยวกับโรคพิษสุนัขบ้า {และ=>::::Grammar}มีความรัก{ =>:::Punctuation}และ{มี=>:::Fluency}ความรับผิดชอบต่อสัตว์เลี้ยง นอกจาก{=>นี้ยังต้อง:::Fluency}ทำการลงทะเบียน และ{ =>:::Punctuation}ฉีดวัคซีน{แน่นอน=>ให้เรียบร้อย:::Fluency}
0,20,ที่เลี้ยงต่อชีวิตเล็กๆ โดยมีความรับผิษชอบนั้น ป้องกันติดเชื้อโรคพิษสุนัขบ้า,การเลี้ยงสิ่งมีชีวิตเล็ก ๆ โดยมีความรับผิดชอบนั้น สามารถป้องกันการติดเชื้อโรคพิษสุนัขบ้าได้,{ที่=>การ:::Grammar}เลี้ยง{ต่อ=>สิ่งมี:::Fluency}ชีวิตเล็ก{=> :::Punctuation}ๆ โดยมีความ{รับผิษชอบ=>รับผิดชอบ:::Spelling}นั้น {=>สามารถ:::Fluency}ป้องกัน{=>การ:::Grammar}ติดเชื้อโรคพิษสุนัขบ้า{=>ได้:::Fluency}
0,21,ยิ่งรีบก็ต้องยิ่งค่อยๆทำ พอทำที่ควรทำให้เรียบร้อย ก็จะประสบความสำเร็จได้,ยิ่งรีบก็ต้องยิ่งค่อย ๆ เป็น ค่อย ๆ ไป หากทำสิ่งที่ควรทำเรียบร้อยแล้ว ก็จะประสบความสำเร็จได้ในที่สุด,ยิ่งรีบก็ต้องยิ่งค่อย{=> :::Punctuation}ๆ{=> :::Punctuation}{ทำ=>เป็น:::Fluency}{=>ค่อย ๆ ไป:::Fluency} {พอ=>หาก:::Fluency}ทำ{=>สิ่ง:::Grammar}ที่ควรทำ{ให้=>:::Fluency}เรียบร้อย{=>แล้ว:::Fluency} ก็จะประสบความสำเร็จได้{=>ในที่สุด:::Fluency}
1,0,เพลงนี้มีเนื้อร้องง่ายๆ แต่พูดถึงเรื่องลึก คือ ความคิดถึง,เพลงนี้มีเนื้อเพลงง่าย ๆ แต่พูดถึงเรื่องที่ลึกซึ้ง นั่นคือ ความคิดถึง,เพลงนี้มี{เนื้อร้อง=>เนื้อเพลง:::Fluency}ง่าย{=> :::Punctuation}ๆ แต่พูดถึงเรื่อง{ลึก=>ที่ลึกซึ้ง:::Fluency} {=>นั่น:::Fluency}คือ ความคิดถึง
1,1,เพลงนี้ฉันฟังครั้งแรกเมื่อ 3 ปีที่แล้ว และรู้สึกว่าชอบ,ฉันฟังเพลงนี้ครั้งแรกเมื่อ 3 ปีที่แล้ว และรู้สึกชอบ,{เพลงนี้ฉันฟัง=>ฉันฟังเพลงนี้:::Grammar}ครั้งแรกเมื่อ 3 ปีที่แล้ว และรู้สึก{ว่า=>:::Fluency}ชอบ
1,2,ทุกคนอาจจะมีประสบการณ์เกี่ยวกับเรื่องนี้ ไม่ว่าจะเป็นคนหรือช่วงเวลา,ทุกคนคงเคยมีประสบการณ์ในเรื่องนี้ ไม่ว่าจะเป็นการคิดถึงคนคนหนึ่งหรือช่วงเวลาหนึ่ง,ทุกคน{อาจจะ=>คงเคยมี:::Fluency}ประสบการณ์{เกี่ยวกับ=>ใน:::Fluency}เรื่องนี้ ไม่ว่าจะเป็น{=>การคิดถึง:::Fluency}คน{=>คนหนึ่ง:::Fluency}หรือช่วงเวลา{=>หนึ่ง:::Fluency}
1,3,โดยเฉพาะพวกเราอยู่ต่างประเทศ อาจจะคิดถึงบ้านเรา คิดถึงพ่อแม่ คิดถึงแฟน หรือ คิดถึงอาหารบางอย่าง,โดยเฉพาะพวกเราที่อยู่ต่างประเทศ​ อาจจะคิดถึงบ้าน คิดถึงพ่อแม่ คิดถึงแฟน หรือคิดถึงอาหารบางอย่างที่บ้าน,โดยเฉพาะพวกเรา{=>ที่:::Grammar}อยู่ต่างประเทศ อาจจะคิดถึงบ้าน{เรา=>:::Fluency} คิดถึงพ่อแม่ คิดถึงแฟน หรือคิดถึงอาหารบางอย่าง{=>ที่บ้าน:::Fluency}
1,4,ถ้าเรากลับแล้วก็น่าจะคิดถึงช่วงเวลาที่อยู่ประเทศไทย,ถ้าเราได้กลับบ้านแล้ว ก็น่าจะคิดถึงช่วงเวลาที่อยู่ประเทศไทยเหมือนกัน,ถ้าเรา{=>ได้:::Fluency}กลับ{=>บ้าน:::Fluency}แล้ว{=> :::Punctuation}ก็น่าจะคิดถึงช่วงเวลาที่อยู่ประเทศไทย{=>เหมือนกัน:::Fluency}
1,5,บางคนอาจจะคิดถึงสมัยก่อน ในช่วงเวลาที่ยังไม่มีอินเตอร์เน็ต ไม่มีโทรศัพท์มือถือ,บางคนอาจจะคิดถึงชีวิตสมัยก่อน ในยุคที่ยังไม่มีอินเตอร์เน็ตและไม่มีโทรศัพท์มือถือ,บางคนอาจจะคิดถึง{=>ชีวิต:::Fluency}สมัยก่อน ใน{ช่วงเวลา=>ยุค:::Fluency}ที่ยังไม่มีอินเตอร์เน็ต{=>และ:::Fluency}ไม่มีโทรศัพท์มือถือ
1,6,แม้สมัยนั้นจะได้ข้อมูลน้อยกว่า แต่ชีวิตมีความสุข เพราะมีเวลาว่างเยอะขึ้น,แม้สมัยนั้นจะหาข้อมูลได้ลำบากกว่า แต่ชีวิตก็มีความสุข เพราะมีเวลาว่างเยอะ,แม้สมัยนั้นจะ{ได้ข้อมูล=>หาข้อมูลได้:::Fluency}{น้อย=>ลำบาก:::Fluency}กว่า แต่ชีวิต{=>ก็:::Fluency}มีความสุข เพราะมีเวลาว่างเยอะ{ขึ้น=>:::Fluency}
1,7,จะได้เดินไปข้างนอก ชมความสวยงามของธรรมชาติ,ได้มีเวลาออกไปเดินเล่นข้างนอก ชมความสวยงามของธรรมชาติ,{จะ=>:::Fluency}ได้{=>มีเวลาออกไป:::Fluency}{เดิน=>เดินเล่น:::Fluency}{ไป=>:::Fluency}ข้างนอก ชมความสวยงามของธรรมชาติ
1,8,เราก็คงคิดถึงครอบครัว เพื่อน หรือคนที่เรารู้จักที่เสียชีวิตไปแล้ว,นอกจากนี้ เราก็ยังคิดถึงครอบครัว เพื่อน หรือคนรู้จักที่จากไปแล้ว,{=>นอกจากนี้:::Fluency}{=> :::Punctuation}เราก็{คง=>ยัง:::Fluency}คิดถึงครอบครัว เพื่อน หรือคน{ที่เรา=>:::Fluency}รู้จักที่{เสียชีวิต=>จาก:::Fluency}ไปแล้ว
1,9,เราไม่รู้ว่าเวลาผ่านไปเร็วขนาดไหนจนถึงคนที่อยู่เสมอไม่ได้อยู่กับเราอีกแล้วด้วย,เราจะไม่รู้เลยว่าเวลาผ่านไปเร็วขนาดไหน จนกว่าจะพบว่าคนที่เคยอยู่กับเรามาตลอดไม่ได้อยู่กับเราอีกต่อไปแล้ว,เรา{=>จะ:::Fluency}ไม่รู้{=>เลย:::Fluency}ว่าเวลาผ่านไปเร็วขนาดไหน{=> :::Punctuation}{จนถึง=>จนกว่า:::Fluency}{=>จะพบว่า:::Fluency}คนที่{=>เคย:::Fluency}อยู่{=>กับเรามา:::Fluency}{เสมอ=>ตลอด:::Fluency}ไม่ได้อยู่กับเราอีก{=>ต่อไป:::Fluency}แล้ว{ด้วย=>:::Fluency}
1,10,ก็รู้สึกว่าเพลงนี้เป็นคำเตือนให้เรานึกถึงสิ่งที่เราทำผิดหรือการทำไม่ำอและหวงแหนคนที่อยู่ใกล้ชิดด้วย,ฉันจึงรู้สึกว่าเพลงนี้เป็นเหมือนคำเตือน ให้เราทบทวนสิ่งที่เราเคยทำผิดพลาดหรือทำไม่ดีพอในอดีต และใส่ใจคนที่อยู่เคียงข้างกันในปัจจุบัน,{=>ฉัน:::Grammar}{ก็=>จึง:::Fluency}รู้สึกว่าเพลงนี้เป็น{=>เหมือน:::Fluency}คำเตือน{=> :::Punctuation}ให้เรา{นึกถึง=>ทบทวน}สิ่งที่เรา{=>เคย:::Fluency}ทำผิด{=>พลาด:::Fluency}หรือ{การ=>:::Grammar}ทำไม่{=>ดี:::Fluency}{ำอ=>พอ:::Spelling}{=>ในอดีต:::Fluency{=> :::Punctuation}และ{หวงแหน=>ใส่ใจ:::Fluency}คนที่อยู่{ใกล้ชิด=>เคียงข้างกัน:::Fluency}{ด้วย=>ในปัจจุบัน:::Fluency}
2,0,นักการเมืองในอุดมคติของคุณต้องเป็นอย่างไร : ต้องมีคุณสมบัติอะไรบ้างเพราะอะไร,นักการเมืองในอุดมคติของคุณต้องเป็นอย่างไร : ต้องมีคุณสมบัติอะไรบ้างเพราะอะไร,นักการเมืองในอุดมคติของคุณต้องเป็นอย่างไร : ต้องมีคุณสมบัติอะไรบ้างเพราะอะไร
2,1,นักการเมืองเป็นคนที่สำคัญสำหรับประชาชน เพราะทุกนโยบายที่นักการเมืองออกจะมีผลกระทบต่อชีวิตของเรา,นักการเมืองเป็นคนที่สำคัญสำหรับประชาชน เพราะทุกนโยบายที่นักการเมืองกำหนดจะมีผลกระทบต่อชีวิตของเรา,นักการเมืองเป็นคนที่สำคัญสำหรับประชาชน เพราะทุกนโยบายที่นักการเมือง{ออก=>กำหนด:::Fluency}จะมีผลกระทบต่อชีวิตของเรา
2,2,ที่ไต้หวันทุกคนได้เป็นนักการเมืองถ้าอายุถึง 20 ปีและผ่านการเลือกตั้ง,ทุกคนที่ไต้หวันสามารถเป็นนักการเมืองได้ ถ้าอายุถึง 20 ปี และผ่านการเลือกตั้ง,{ที่ไต้หวัน=>:::Fluency}ทุกคน{=>ที่ไต้หวัน:::Fluency}{ได้=>สามารถ:::Fluency}เป็นนักการเมือง{=>ได้:::Fluency} ถ้าอายุถึง 20 ปี และผ่านการเลือกตั้ง
2,3,ถึงแม้ว่าทุกคนมีโอกาสเป็นนักการเมือง แต่ฉันคิดว่านักการเมืองที่ดีต้องมีคุณสมบัติสามอย่าง,แม้ว่าทุกคนจะมีโอกาสเป็นนักการเมือง แต่ฉันคิดว่าหากจะเป็นนักการเมืองที่ดี ต้องมีคุณสมบัติสามอย่าง,แม้ว่าทุกคน{=>จะ:::Fluency}มีโอกาสเป็นนักการเมือง แต่ฉันคิดว่า{=>หากจะเป็น:::Fluency}นักการเมืองที่ดี{=> :::Punctuation}ต้องมีคุณสมบัติสามอย่าง
2,4,คุณสมบัติที่หนึ่ง ไม่คดโกง,คุณสมบัติที่หนึ่งคือไม่คดโกง,คุณสมบัติที่หนึ่ง{ =>คือ:::Fluency}ไม่คดโกง
2,5,ที่ไต้หวันวาระของนักการเมืองส่วนใหญ่เป็น 4 ปี,นักการเมืองในไต้หวันส่วนใหญ่มีวาระการดำรงตำแหน่ง 4 ปี,นักการเมือง{=>ในไต้หวัน:::Fluency}ส่วนใหญ่มีวาระการดำรงตำแหน่ง 4 ปี
2,6,ตอนการเลือกตั้งทุกนักการเมืองจะพรรณานโยบายของเรา,เมื่อมีการเลือกตั้ง นักการเมืองทุกคนจะนำเสนอนโยบายของเขา,{ตอน=>เมื่อมี:::Fluency}การเลือกตั้ง นักการเมืองทุกคนจะ{พรรณนา=>นำเสนอ:::Fluency}นโยบายของ{เรา=>เขา:::Fluency}
2,7,ถ้าเราเป็นนักการเมืองจะทำอะไร เพื่อให้ประชาชนออกเสียงให้เขา,ถ้าเราเป็นนักการเมือง เราจะทำอะไรเพื่อให้ประชาชนลงคะแนนให้เรา,ถ้าเราเป็นนักการเมือง{=> :::Punctuation}จะทำอะไรเพื่อให้ประชาชน{ออกเสียง=>ลงคะแนน:::Fluency}ให้เรา
2,8,นักการเมืองจะสัญญาหลายๆ ปฏิญญา แต่ตอนเขาเป็นนักการเมืองก็ทำไม่ได้ ฉันก็เลยคิดว่านักการเมืองต้องไม่คดโกงกับประชาชน,นักการเมืองจะให้คำสัญญาหลายอย่าง แต่พอเขาได้เป็นนักการเมืองกลับทำไม่ได้ ฉันก็เลยคิดว่านักการเมืองต้องไม่คดโกงประชาชน,นักการเมืองจะ{สัญญาหลายๆ ปฏิญญา=>ให้คำสัญญาหลายอย่าง:::Fluency} แต่พอเขา{=>ได้:::Fluency}เป็นนักการเมือง{=>กลับ:::Fluency}ทำไม่ได้ ฉันก็เลยคิดว่านักการเมืองต้องไม่คดโกงประชาชน
2,9,ถ้าเขาสัญญาอะไร ต้องพยายามทำได้ ถ้าทำไม่ได้ต้องบอกให้เหตุผล,ถ้าเขาสัญญาอะไรไว้ ก็ต้องพยายามทำให้ได้ หากทำไม่ได้ ก็ต้องชี้แจงเหตุผล,ถ้าเขาสัญญาอะไร{=>ไว้:::Fluency} ก็ต้องพยายามทำ{=>ให้:::Fluency}ได้ หากทำไม่ได้ก็ต้อง{บอกให้เหตุผล=>ชี้แจงเหตุผล:::Fluency}
2,10,คุณสมบัติที่สอง การทำงานเพื่อประชาชนต้องจริงใจ,คุณสมบัติที่สองคือต้องทำงานเพื่อประชาชนอย่างจริงใจ,คุณสมบัติที่สอง{=>คือ:::Fluency}{การ=>ต้อง:::Fluency}ทำงานเพื่อประชาชนอย่างจริงใจ{ต้องจริงใจ=>อย่างจริงใจ:::Fluency}
2,11,วาระของนักการเมืองส่วนใหญ่จะเป๋็น 4 ปี แต่บางนโยบายต้องใช้เวลาจะได้เห็นประโยชน์,นักการเมืองส่วนใหญ่มีวาระการดำรงตำแหน่ง 4 ปี แต่บางนโยบายต้องใช้เวลานานกว่าจะเห็นผล,นักการเมืองส่วนใหญ่มีวาระการดำรงตำแหน่ง 4 ปี แต่บางนโยบายต้องใช้เวลา{=>นาน:::Fluency}{จะได้เห็นประโยชน์=>กว่าจะเห็นผล:::Fluency}
2,12,นักการเมืองเพื่อการเลือกตั้งครั้งหน้า ก็เลยไม่ยอมออกนโยบายที่ใช้เวลาจะได้ผล ฉันจึงคิดว่านักการเมืองต้องทำงานอย่างจริงใจ,นักการเมืองจึงไม่ยอมเสนอนโยบายที่ต้องใช้เวลาเพื่อการเลือกตั้งครั้งหน้า ฉันจึงคิดว่านักการเมืองต้องทำงานอย่างจริงใจ,นักการเมือง{=>จึง:::Fluency}ไม่ยอมเสนอนโยบายที่ต้องใช้เวลาเพื่อการเลือกตั้งครั้งหน้า ฉันจึงคิดว่านักการเมืองต้องทำงานอย่างจริงใจ
2,13,แม้ว่าเขารู้ว่านโยบายนี้ใช้เวลาแต่เขายอมทำเพื่อประชาชน,แม้ว่าเขารู้ว่านโยบายนี้ต้องใช้เวลาแต่เขาก็ยอมทำเพื่อประชาชน,แม้ว่าเขารู้ว่านโยบายนี้{=>ต้อง:::Fluency}ใช้เวลาแต่เขาก็ยอมทำเพื่อประชาชน
2,14,คุณสมบัติสุดท้ายการรับสารภาพผิดทันที,คุณสมบัติสุดท้ายคือการยอมรับผิดในทันที,คุณสมบัติสุดท้าย{=>คือ:::Fluency}การ{สารภาพ=>ยอมรับ:::Fluency}ผิด{=>ใน:::Fluency}ทันที
2,15,วัฒนธรรมต่าง ๆ,วัฒนธรรมต่าง ๆ,วัฒนธรรมต่าง ๆ
2,16,การเกิดของเราไม่ใช่เป็นคนเหมือนกับคนอื่น,เราเกิดมาไม่เหมือนคนอื่น,เราเกิดมาไม่เหมือนคนอื่น
2,17,การเกิดของเราก็ไม่ใช่กวดชีวิตที่ไม่มีความสุข,เราเกิดมาไม่ใช่ว่าไม่มีความสุข,เราเกิดมาไม่ใช่ว่าไม่มีความสุข
2,18,มโนของเราเหมือนกับประตู,ความคิดของเราก็เหมือนกับประตู,{มโน=>ความคิด:::Fluency}ของเรา{=>ก็:::Fluency}เหมือนกับประตู
2,19,การเปิดประตูทำให้เราทัศนาเวิลด์ต่างกัน,การเปิดประตูทำให้ความคิดของเราแตกต่างกัน,การเปิดประตูทำให้{ทัศนาเวิลด์=>ความคิด:::Fluency}ของเราแตกต่างกัน
